node_id,node_type,label,department,year
S0001,Student,Jamie Lee,Psychology,4
S0002,Student,Arjun Perez,Economics,3
S0003,Student,Diego Singh,Biology,4
S0004,Student,Chris Gomez,Mathematics,4
S0005,Student,Nikhil Lewis,Psychology,3
S0006,Student,Michael Martinez,Physics,1
S0007,Student,Jamie Chen,Economics,1
S0008,Student,Meera Martinez,Physics,4
S0009,Student,Helen Martinez,Psychology,1
S0010,Student,Maria Chen,Computer Science,3
S0011,Student,Alex Santos,Physics,1
S0012,Student,Arjun Gomez,Mathematics,4
S0013,Student,Casey Smith,Psychology,1
S0014,Student,John Brown,Psychology,2
S0015,Student,Rahul Patel,Economics,4
S0016,Student,Arjun Reddy,Biology,1
S0017,Student,Sanjay Johnson,Psychology,1
S0018,Student,Lucia Santos,Economics,1
S0019,Student,Rachel Taylor,Biology,1
S0020,Student,Sofia Taylor,Chemistry,4
S0021,Student,Chris Kim,Psychology,2
S0022,Student,Sarah Moore,Economics,3
S0023,Student,Sunita Liu,Physics,4
S0024,Student,Pooja Walker,Engineering,3
S0025,Student,John Smith,Computer Science,3
S0026,Student,Robert Thomas,Mathematics,3
S0027,Student,Susan Clark,Mathematics,4
S0028,Student,Rajesh Moore,Physics,3
S0029,Student,Karen Hernandez,Biology,3
S0030,Student,Shalini Patel,Mathematics,2
S0031,Student,Min Kumar,Economics,3
S0032,Student,Rajesh Lim,Engineering,2
S0033,Student,Li Martinez,Mathematics,3
S0034,Student,Sarah Lewis,Engineering,3
S0035,Student,Robert Shah,Biology,1
S0036,Student,Thomas Gomez,Engineering,3
S0037,Student,Rachel Martinez,Computer Science,3
S0038,Student,Taylor Zhang,Physics,2
S0039,Student,Diane Kumar,Chemistry,3
S0040,Student,David Smith,Psychology,2
S0041,Student,Olivia Ng,Chemistry,2
S0042,Student,Linda Clark,Biology,1
S0043,Student,Vivek Gupta,Physics,1
S0044,Student,Miguel Anderson,Computer Science,3
S0045,Student,Sakura Clark,Biology,4
S0046,Student,Sunita Wang,Biology,2
S0047,Student,Rohan Clark,Biology,2
S0048,Student,Joseph Gomez,Psychology,1
S0049,Student,Nancy Patel,Engineering,3
S0050,Student,Jordan Iyer,Chemistry,4
S0051,Student,Thomas Zhang,Physics,4
S0052,Student,Taylor Lim,Chemistry,2
S0053,Student,Olivia Lee,Physics,4
S0054,Student,Susan Perez,Chemistry,3
S0055,Student,Alex Singh,Psychology,4
S0056,Student,Casey Thomas,Physics,4
S0057,Student,Olivia Kumar,Engineering,2
S0058,Student,Priya Santos,Chemistry,2
S0059,Student,Jordan Clark,Physics,1
S0060,Student,Noah Shah,Psychology,3
S0061,Student,Rekha Rodriguez,Mathematics,1
